epsilon,lambda,TUR,I,I_var,J_QH,P,eff,sigma,omega,u_intra,u_inter,V_B,gammaL,gammaR,T_L,T_R
-100.0,0.0,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-77.77777777777777,0.0,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-55.55555555555556,0.0,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-33.33333333333334,0.0,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-11.111111111111114,0.0,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
11.111111111111114,0.0,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
33.333333333333314,0.0,3.2996581720098117,1.1169488209171062e-05,1.2591281041603023e-05,0.0006568535822579257,0.0005584744104585531,0.850226634280968,3.269381357358001e-05,0.105,500,300,50,0.1,0.105,10,1
55.55555555555554,0.0,22.91470292318066,1.2960817737959552e-06,1.2960482830579606e-06,0.0001050046499451376,6.480408868979776e-05,0.6171544662417935,2.9700096260826072e-05,0.105,500,300,50,0.1,0.105,10,1
77.77777777777777,0.0,42.91523178666368,1.4054952962789976e-07,1.4054913562199896e-07,1.4510232257538688e-05,7.027476481394988e-06,0.48431178472308134,6.031732550389832e-06,0.105,500,300,50,0.1,0.105,10,1
100.0,0.0,62.91533915877343,1.5232199433283552e-08,1.5232194805280128e-08,1.911054729239758e-06,7.616099716641776e-07,0.3985286030856666,9.583392846516046e-07,0.105,500,300,50,0.1,0.105,10,1
-100.0,0.09090909090909091,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-77.77777777777777,0.09090909090909091,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-55.55555555555556,0.09090909090909091,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-33.33333333333334,0.09090909090909091,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-11.111111111111114,0.09090909090909091,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
11.111111111111114,0.09090909090909091,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
33.333333333333314,0.09090909090909091,3.6402426801970025,1.6695031356524638e-05,1.7833745064133575e-05,0.000990716685212356,0.0008347515678262319,0.8425734423230253,5.689344886488854e-05,0.105,500,300,50,0.1,0.105,10,1
55.55555555555554,0.09090909090909091,23.406969280837483,1.8858189312299643e-06,1.8857531428759247e-06,0.00015381532479302732,9.429094656149822e-05,0.6130139938161258,4.414284575222636e-05,0.105,500,300,50,0.1,0.105,10,1
77.77777777777777,0.09090909090909091,43.40762165736164,2.0453168814819442e-07,2.0453091377744508e-07,2.1227613508008663e-05,1.0226584407409721e-05,0.4817585548913202,8.878267749798075e-06,0.105,500,300,50,0.1,0.105,10,1
100.0,0.09090909090909091,63.40775999556053,2.2166683421743876e-08,2.2166674325516612e-08,2.7931938779581462e-06,1.1083341710871938e-06,0.39679815276460423,1.405540319075138e-06,0.105,500,300,50,0.1,0.105,10,1
-100.0,0.18181818181818182,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-77.77777777777777,0.18181818181818182,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-55.55555555555556,0.18181818181818182,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-33.33333333333334,0.18181818181818182,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-11.111111111111114,0.18181818181818182,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
11.111111111111114,0.18181818181818182,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
33.333333333333314,0.18181818181818182,3.556710552427323,3.881383463586781e-05,4.202497383720081e-05,0.002297992114453479,0.0019406917317933902,0.8445162712209464,0.00012750117121474073,0.105,500,300,50,0.1,0.105,10,1
55.55555555555554,0.18181818181818182,23.277724717457332,4.414837726779011e-06,4.414487964475598e-06,0.00035946378436760203,0.00022074188633895052,0.6140865810092597,0.00010277551959189133,0.105,500,300,50,0.1,0.105,10,1
77.77777777777777,0.18181818181818182,43.27922230323454,4.788092056286621e-07,4.788050890576297e-07,4.9625698329106354e-05,2.3940460281433107e-05,0.48242062253039575,2.072266821476261e-05,0.105,500,300,50,0.1,0.105,10,1
100.0,0.18181818181818182,63.279538184063576,5.189209611323497e-08,5.189204775820824e-08,6.531461936663232e-06,2.5946048056617484e-06,0.3972471754137283,3.283710937335161e-06,0.105,500,300,50,0.1,0.105,10,1
-100.0,0.2727272727272727,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-77.77777777777777,0.2727272727272727,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-55.55555555555556,0.2727272727272727,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-33.33333333333334,0.2727272727272727,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-11.111111111111114,0.2727272727272727,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
11.111111111111114,0.2727272727272727,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
33.333333333333314,0.2727272727272727,3.464770646314526,7.590937610047757e-05,8.332979034536748e-05,0.0044833964401973965,0.003795468805023878,0.8465610515711544,0.0002395879911537789,0.105,500,300,50,0.1,0.105,10,1
55.55555555555554,0.2727272727272727,23.14351386057029,8.696565170979406e-06,8.695235733863325e-06,0.0007068090085259817,0.00043482825854897027,0.6151990895755347,0.00020129984912441322,0.105,500,300,50,0.1,0.105,10,1
77.77777777777777,0.2727272727272727,43.14637652787991,9.431478555052894e-07,9.431322105325123e-07,9.761275589493542e-05,4.715739277526447e-05,0.4831068679796511,4.069408753017741e-05,0.105,500,300,50,0.1,0.105,10,1
100.0,0.2727272727272727,63.14698304965564,1.0221551014573323e-07,1.0221532637538775e-07,1.285043133159437e-05,5.110775507286661e-06,0.3977123705350799,6.4546126911482735e-06,0.105,500,300,50,0.1,0.105,10,1
-100.0,0.36363636363636365,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-77.77777777777777,0.36363636363636365,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-55.55555555555556,0.36363636363636365,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-33.33333333333334,0.36363636363636365,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-11.111111111111114,0.36363636363636365,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
11.111111111111114,0.36363636363636365,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
33.333333333333314,0.36363636363636365,3.405358180232564,0.00012498224070423805,0.00013829588978964347,0.007370831355787107,0.006249112035211902,0.8478164447902472,0.0003846361849964937,0.105,500,300,50,0.1,0.105,10,1
55.55555555555554,0.36363636363636365,23.06129929263668,1.4380804828500253e-05,1.4377297439604254e-05,0.0011675124336902954,0.0007190402414250127,0.6158737334832972,0.00033172094889625316,0.105,500,300,50,0.1,0.105,10,1
77.77777777777777,0.36363636363636365,43.065826186293606,1.5595670338307276e-06,1.5595257623106336e-06,0.00016127130215056883,7.797835169153639e-05,0.48352280071957826,6.716582024397556e-05,0.105,500,300,50,0.1,0.105,10,1
100.0,0.36363636363636365,63.06678941180948,1.6902068402405516e-07,1.6902019924217661e-07,2.1234062956124635e-05,8.451034201202758e-06,0.39799421423327697,1.0659622459309413e-05,0.105,500,300,50,0.1,0.105,10,1
-100.0,0.4545454545454546,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-77.77777777777777,0.4545454545454546,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-55.55555555555556,0.4545454545454546,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-33.33333333333334,0.4545454545454546,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-11.111111111111114,0.4545454545454546,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
11.111111111111114,0.4545454545454546,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
33.333333333333314,0.4545454545454546,3.3673261397390046,0.00018227956968298176,0.000202608705418006,0.010740207734786367,0.009113978484149087,0.8485849351525949,0.0005522084771586429,0.105,500,300,50,0.1,0.105,10,1
55.55555555555554,0.4545454545454546,23.010529106260478,2.1028163626554942e-05,2.1021048884077044e-05,0.0017060456910077558,0.001051408181327747,0.6162837178801955,0.0004840329405792333,0.105,500,300,50,0.1,0.105,10,1
77.77777777777777,0.4545454545454546,43.01677422496164,2.2804138912233405e-06,2.280330177844999e-06,0.00023568927252342546,0.00011402069456116703,0.4837754953392474,9.809965070991589e-05,0.105,500,300,50,0.1,0.105,10,1
100.0,0.4545454545454546,63.01810661207529,2.4714314144721014e-07,2.4714215814395433e-07,3.1035235416311055e-05,1.2357157072360507e-05,0.39816540479232226,1.5574554802319442e-05,0.105,500,300,50,0.1,0.105,10,1
-100.0,0.5454545454545454,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-77.77777777777777,0.5454545454545454,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-55.55555555555556,0.5454545454545454,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-33.33333333333334,0.5454545454545454,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-11.111111111111114,0.5454545454545454,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
11.111111111111114,0.5454545454545454,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
33.333333333333314,0.5454545454545454,3.3422993965332126,0.0002440309411639294,0.00027196022875626373,0.0143704555283531,0.01220154705819647,0.8490716967268473,0.0007318629173213201,0.105,500,300,50,0.1,0.105,10,1
55.55555555555554,0.5454545454545454,22.977932256666016,2.8197222813248163e-05,2.8185255675781963e-05,0.0022867223479097146,0.001409861140662408,0.6165423370927202,0.0006481889724563354,0.105,500,300,50,0.1,0.105,10,1
77.77777777777777,0.5454545454545454,42.985738778058256,3.0578191630956295e-06,3.0576783634955748e-06,0.0003159329184263088,0.00015289095815478146,0.4839348774301378,0.00013144866842889645,0.105,500,300,50,0.1,0.105,10,1
100.0,0.5454545454545454,62.98740706392126,3.3139499008689674e-07,3.313933362549542e-07,4.160396090555333e-05,1.6569749504344836e-05,0.3982733649317773,2.0873815310653163e-05,0.105,500,300,50,0.1,0.105,10,1
-100.0,0.6363636363636364,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-77.77777777777777,0.6363636363636364,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-55.55555555555556,0.6363636363636364,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-33.33333333333334,0.6363636363636364,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-11.111111111111114,0.6363636363636364,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
11.111111111111114,0.6363636363636364,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
33.333333333333314,0.6363636363636364,3.325378838844695,0.00030700712697838406,0.0003426934858056217,0.018072176055384245,0.015350356348919203,0.849391700361721,0.0009146021009266181,0.105,500,300,50,0.1,0.105,10,1
55.55555555555554,0.6363636363636364,22.956246078191537,3.5510635475423114e-05,3.549306696597989e-05,0.00287902907421618,0.0017755317737711558,0.6167119983859652,0.0008155943930234061,0.105,500,300,50,0.1,0.105,10,1
77.77777777777777,0.6363636363636364,42.96532548999234,3.850865643519887e-06,3.850658950084922e-06,0.0003977842878838393,0.00019254328217599434,0.4840394355450779,0.00016546257691946105,0.105,500,300,50,0.1,0.105,10,1
100.0,0.6363636363636364,62.96726791536396,4.173418209560414e-07,4.173393931467586e-07,5.238457574848207e-05,2.086709104780207e-05,0.3983441833717004,2.627902712583179e-05,0.105,500,300,50,0.1,0.105,10,1
-100.0,0.7272727272727273,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-77.77777777777777,0.7272727272727273,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-55.55555555555556,0.7272727272727273,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-33.33333333333334,0.7272727272727273,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-11.111111111111114,0.7272727272727273,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
11.111111111111114,0.7272727272727273,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
33.333333333333314,0.7272727272727273,3.3135703684620164,0.0003687797620410563,0.0004120886602106259,0.021702823047219624,0.018438988102052814,0.8496124242424331,0.001093552640444848,0.105,500,300,50,0.1,0.105,10,1
55.55555555555554,0.7272727272727273,22.941232594241782,4.268567170579424e-05,4.266234280851075e-05,0.0034600899940561967,0.002134283585289712,0.6168289232233907,0.000979797409360865,0.105,500,300,50,0.1,0.105,10,1
77.77777777777777,0.7272727272727273,42.9512463235139,4.6288993508498995e-06,4.628624895685016e-06,0.0004780819473977525,0.000231444967542495,0.4841114976256119,0.0001988287851154823,0.105,500,300,50,0.1,0.105,10,1
100.0,0.7272727272727273,62.953390275883635,5.016615451860874e-07,5.016583214632037e-07,6.296063916155106e-05,2.508307725930437e-05,0.39839298954611246,3.158149798609158e-05,0.105,500,300,50,0.1,0.105,10,1
-100.0,0.8181818181818182,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-77.77777777777777,0.8181818181818182,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-55.55555555555556,0.8181818181818182,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-33.33333333333334,0.8181818181818182,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-11.111111111111114,0.8181818181818182,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
11.111111111111114,0.8181818181818182,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
33.333333333333314,0.8181818181818182,3.3049200212290772,0.00042772611195610635,0.00047835377076176685,0.02516699395179929,0.021386305597805317,0.8497759263090824,0.001263988958814046,0.105,500,300,50,0.1,0.105,10,1
