epsilon_L,epsilon_R,lambda,TUR,I,I_var,J_QH,P,eff,sigma,omega,u_intra,u_inter,V_B,gammaL,gammaR,T_L,T_R
-100.0,-99.0,0.0,,,,,,,,0.105,500,300,50,0.1,0.1,10,1
-77.777778,-76.777778,0.0,,,,,,,,0.105,500,300,50,0.1,0.1,10,1
-55.555556,-54.555556,0.0,,,,,,,,0.105,500,300,50,0.1,0.1,10,1
-33.333333,-32.333333,0.0,,,,,,,,0.105,500,300,50,0.1,0.1,10,1
-11.111111,-10.111111,0.0,,,,,,,,0.105,500,300,50,0.1,0.1,10,1
11.111111,12.111111,0.0,,,,,,,,0.105,500,300,50,0.1,0.1,10,1
33.333333,34.333333,0.0,3.308052,1.1e-05,1.2e-05,0.000641,0.000545,0.85005,3.2e-05,0.105,500,300,50,0.1,0.1,10,1
55.555556,56.555556,0.0,22.925649,1e-06,1e-06,0.000102,6.3e-05,0.617062,2.9e-05,0.105,500,300,50,0.1,0.1,10,1
77.777778,78.777778,0.0,42.926177,0.0,0.0,1.4e-05,7e-06,0.484255,6e-06,0.105,500,300,50,0.1,0.1,10,1
100.0,101.0,0.0,62.926284,0.0,0.0,2e-06,1e-06,0.39849,1e-06,0.105,500,300,50,0.1,0.1,10,1
-100.0,-99.0,0.090909,,,,,,,,0.105,500,300,50,0.1,0.1,10,1
-77.777778,-76.777778,0.090909,,,,,,,,0.105,500,300,50,0.1,0.1,10,1
-55.555556,-54.555556,0.090909,,,,,,,,0.105,500,300,50,0.1,0.1,10,1
-33.333333,-32.333333,0.090909,,,,,,,,0.105,500,300,50,0.1,0.1,10,1
-11.111111,-10.111111,0.090909,,,,,,,,0.105,500,300,50,0.1,0.1,10,1
11.111111,12.111111,0.090909,,,,,,,,0.105,500,300,50,0.1,0.1,10,1
33.333333,34.333333,0.090909,3.640202,1.7e-05,1.8e-05,0.000989,0.000834,0.842573,5.7e-05,0.105,500,300,50,0.1,0.1,10,1
55.555556,56.555556,0.090909,23.406945,2e-06,2e-06,0.000154,9.4e-05,0.613014,4.4e-05,0.105,500,300,50,0.1,0.1,10,1
77.777778,78.777778,0.090909,43.407627,0.0,0.0,2.1e-05,1e-05,0.481758,9e-06,0.105,500,300,50,0.1,0.1,10,1
100.0,101.0,0.090909,63.407772,0.0,0.0,3e-06,1e-06,0.396798,1e-06,0.105,500,300,50,0.1,0.1,10,1
-100.0,-99.0,0.181818,,,,,,,,0.105,500,300,50,0.1,0.1,10,1
-77.777778,-76.777778,0.181818,,,,,,,,0.105,500,300,50,0.1,0.1,10,1
-55.555556,-54.555556,0.181818,,,,,,,,0.105,500,300,50,0.1,0.1,10,1
-33.333333,-32.333333,0.181818,,,,,,,,0.105,500,300,50,0.1,0.1,10,1
-11.111111,-10.111111,0.181818,,,,,,,,0.105,500,300,50,0.1,0.1,10,1
11.111111,12.111111,0.181818,,,,,,,,0.105,500,300,50,0.1,0.1,10,1
33.333333,34.333333,0.181818,3.559833,3.8e-05,4.2e-05,0.002278,0.001923,0.844442,0.000127,0.105,500,300,50,0.1,0.1,10,1
55.555556,56.555556,0.181818,23.282528,4e-06,4e-06,0.000356,0.000219,0.614046,0.000102,0.105,500,300,50,0.1,0.1,10,1
77.777778,78.777778,0.181818,43.284068,0.0,0.0,4.9e-05,2.4e-05,0.482396,2.1e-05,0.105,500,300,50,0.1,0.1,10,1
100.0,101.0,0.181818,63.284393,0.0,0.0,6e-06,3e-06,0.39723,3e-06,0.105,500,300,50,0.1,0.1,10,1
-100.0,-99.0,0.272727,,,,,,,,0.105,500,300,50,0.1,0.1,10,1
-77.777778,-76.777778,0.272727,,,,,,,,0.105,500,300,50,0.1,0.1,10,1
-55.555556,-54.555556,0.272727,,,,,,,,0.105,500,300,50,0.1,0.1,10,1
-33.333333,-32.333333,0.272727,,,,,,,,0.105,500,300,50,0.1,0.1,10,1
-11.111111,-10.111111,0.272727,,,,,,,,0.105,500,300,50,0.1,0.1,10,1
11.111111,12.111111,0.272727,,,,,,,,0.105,500,300,50,0.1,0.1,10,1
33.333333,34.333333,0.272727,3.47002,7.5e-05,8.2e-05,0.004411,0.003734,0.846442,0.000236,0.105,500,300,50,0.1,0.1,10,1
55.555556,56.555556,0.272727,23.1511,9e-06,9e-06,0.000695,0.000428,0.615135,0.000198,0.105,500,300,50,0.1,0.1,10,1
77.777778,78.777778,0.272727,43.153998,1e-06,1e-06,9.6e-05,4.6e-05,0.483067,4e-05,0.105,500,300,50,0.1,0.1,10,1
100.0,101.0,0.272727,63.154612,0.0,0.0,1.3e-05,5e-06,0.397686,6e-06,0.105,500,300,50,0.1,0.1,10,1
-100.0,-99.0,0.363636,,,,,,,,0.105,500,300,50,0.1,0.1,10,1
-77.777778,-76.777778,0.363636,,,,,,,,0.105,500,300,50,0.1,0.1,10,1
-55.555556,-54.555556,0.363636,,,,,,,,0.105,500,300,50,0.1,0.1,10,1
